               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,            0.065328,             0.01836,                   0,             0.25458,             0.26506,             0.16679,             0.05268,            0.064476,            0.018619,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.062615,              0.0172,                   0,             0.35461,             0.21687,             0.18675,            0.058148,            0.065024,            0.018472,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.065132,            0.018034,                   0,              0.2763,             0.28916,               0.174,            0.055528,             0.06506,             0.01831,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.059875,            0.015764,                   0,             0.32863,             0.27711,             0.23398,            0.077246,            0.063317,            0.018472,                   0,            0.004654,            0.004654,            0.004654
                  56,             0.06251,            0.017157,                   0,             0.39444,              0.3012,             0.23494,            0.072971,            0.067012,            0.018899,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.062553,            0.017431,                   0,             0.26586,             0.28916,             0.21128,             0.06637,            0.062296,            0.017991,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.063782,            0.017911,                   0,             0.30721,              0.3253,             0.21586,            0.072237,            0.061887,            0.017927,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.059618,            0.019238,                   0,              0.2833,              0.3012,             0.17677,            0.058279,            0.064334,            0.017415,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.061036,            0.016417,                   0,             0.36285,             0.27711,             0.23105,            0.092827,            0.065521,             0.01875,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.060132,            0.016363,                   0,              0.3653,             0.31325,             0.23579,            0.095826,            0.063839,            0.018596,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.061879,            0.017477,                   0,             0.26432,              0.3494,             0.22346,            0.090915,            0.061647,            0.017579,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.060669,             0.01813,                   0,             0.22964,              0.3494,             0.17287,            0.063185,            0.063745,            0.017039,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.063408,            0.017133,                   0,             0.32811,              0.3253,             0.25128,            0.084646,            0.062227,            0.017153,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.059505,            0.017357,                   0,             0.35235,              0.3253,              0.2749,            0.095865,            0.060879,            0.017433,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.058835,            0.015594,                   0,             0.40763,              0.3494,             0.31688,             0.12744,             0.06009,            0.017424,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.059369,            0.016805,                   0,             0.40681,              0.3012,             0.33753,             0.13261,            0.061914,            0.017289,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.061596,            0.017473,                   0,             0.43329,             0.28561,             0.31382,             0.12323,            0.061717,            0.017184,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.059586,            0.016823,                   0,             0.36762,              0.3253,              0.3052,             0.10317,             0.06094,            0.017481,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.057855,            0.015592,                   0,             0.27291,              0.3494,             0.23988,            0.075595,            0.061502,            0.017037,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.055611,            0.015022,                   0,             0.37553,             0.33332,             0.27233,            0.092059,            0.061137,            0.016776,                   0,             0.00307,             0.00307,             0.00307
                  72,             0.05808,            0.015993,                   0,             0.38773,             0.31325,              0.2958,             0.11151,            0.060515,             0.01676,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.058222,            0.016703,                   0,             0.36035,             0.31325,             0.30362,             0.11453,            0.060824,            0.016598,                   0,            0.002872,            0.002872,            0.002872
                  74,             0.05942,            0.016484,                   0,             0.39905,              0.3253,              0.2986,             0.11239,            0.060854,            0.016325,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.056269,            0.015568,                   0,             0.35629,              0.3494,             0.30659,             0.11498,            0.060881,            0.016386,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.058416,            0.015866,                   0,             0.41369,              0.3253,             0.28847,             0.11054,            0.061499,            0.016309,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.056135,            0.015716,                   0,             0.40314,              0.3253,             0.32127,             0.12577,            0.061484,            0.016354,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.056006,            0.016216,                   0,             0.52649,             0.28916,             0.29881,             0.12375,            0.061732,            0.016394,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.053621,            0.016464,                   0,             0.41591,             0.33735,             0.28963,             0.11896,             0.06001,            0.016238,                   0,            0.002278,            0.002278,            0.002278
                  80,             0.05471,            0.015192,                   0,             0.46567,              0.3253,             0.32692,             0.14183,            0.059781,            0.016424,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.054664,            0.015126,                   0,             0.55727,              0.3253,             0.33288,             0.15798,            0.059495,            0.016381,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.055991,            0.014584,                   0,             0.38539,             0.31325,             0.32418,             0.12799,            0.060976,            0.016084,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.057312,            0.015706,                   0,             0.68423,             0.25301,             0.35123,             0.16784,            0.061571,            0.016848,                   0,            0.001882,            0.001882,            0.001882
